GHG,Total#Houses,Totallightbulbs,Totalgalsgas,DOW
0.0,312865.0451610802,782025.9892250474,1750356.471898634,7.0
0.0,312805.8966537502,781878.192843673,1749443.2010956053,7.0
0.0,312355.8466869408,780753.4751880228,1744469.7155974263,7.0
0.0,305577.91954,763812.9182971001,1691766.5431874997,7.0
0.0,308475.5055105749,771055.293941045,1711323.9289070903,7.0
0.0,308810.6473075783,771893.272633636,1709647.6951818569,7.0
0.0,309860.76946762454,774518.0017516635,1716758.6611762804,7.0
0.0,311996.0720158207,779855.9799489011,1719930.6069152413,7.0
0.0,310584.6912696673,776328.1587381868,1712033.5550965169,7.0
0.0,311311.35782626015,778144.5207059532,1715727.0621815051,7.0
0.0,310679.6327383372,776565.7248918631,1709183.7368319358,7.0
0.0,307042.1605999864,767474.4072571498,1679339.5553555551,7.0
0.0,309552.1692324064,773748.3535334322,1692749.454332279,7.0
0.0,311881.0214539872,779570.0511773551,1697793.9701302259,7.0
0.0,312252.883415635,780499.4698775515,1700805.018374238,7.0
0.0,314550.48499531473,786243.1345301569,1704795.7573802457,7.0
0.0,316266.7870643294,790533.6678909445,1707179.5170220903,7.0
0.0,318225.5389349836,795430.1907206409,1711384.78896468,7.0
0.0,321000.28022193746,802366.6720179612,1715495.5925454695,7.0
0.0,335996.0,839853.72,1740810.0,7.0
0.0,329646.53470617475,823981.1155295183,1728857.3021294903,7.0
0.0,328228.04353232734,820435.2148624387,1725242.6867239214,7.0
0.0,326683.675312658,816574.603748678,1721679.1924617381,7.0
0.0,326376.07436602097,815806.057083638,1716236.0853687266,7.0
0.0,326805.0408393463,816878.2813840411,1718705.5835753568,7.0
0.0,324985.46887683077,812329.7539926686,1714123.6719969888,7.0
0.0,325632.93000352464,813948.3380903617,1715066.4390660857,7.0
0.0,326689.25265827775,816589.1955122553,1715946.9950261049,7.0
0.0,325617.3419187179,813909.7751389073,1711013.3788004683,7.0
0.0,324479.6287648084,811066.0877289419,1703521.871594164,7.0
0.0,323939.50488463,809715.979655615,1701126.0008290634,7.0
0.0,321604.69057895854,803879.9506216208,1689168.0845672488,7.0
0.0,320580.7494675718,801320.8070388158,1680269.7685311914,7.0
0.0,320530.9262722183,801196.431180288,1678312.0162021527,7.0
0.0,319072.6291716224,797551.4966831765,1668226.1277041987,7.0
0.0,309925.06516399997,774687.49582386,1607266.1181624997,7.0
0.0,314064.70078027656,785034.5078614996,1633379.6734984573,7.0
0.0,314437.7255977437,785967.025722818,1634317.538729291,7.0
0.0,315612.205924496,788902.8639923502,1639368.4892422375,7.0
0.0,317103.88842623093,792632.1181898895,1640404.7610896977,7.0
0.0,316096.7416098912,790114.4610977476,1637324.2868742002,7.0
0.0,316760.17910999735,791772.8863199338,1639922.8372924768,7.0
0.0,316029.4921691692,789946.480952356,1636048.6517543087,7.0
0.0,313598.44820785034,783870.0647635261,1621896.8078648774,7.0
0.0,315146.41737436334,787739.4738310431,1628489.9020683349,7.0
0.0,316581.3033332946,791326.5236923286,1631650.098545832,7.0
0.0,317069.4860802534,792546.8894866288,1633025.9483928895,7.0
0.0,317810.68319138756,794399.8121343302,1634486.5338316797,7.0
0.0,320019.77292170015,799922.3682409072,1638552.1156249195,7.0
0.0,319930.9398702977,799700.402279833,1637160.424419714,7.0
0.0,321886.0222998238,804587.9555300475,1640807.205935892,7.0
0.0,332688.0,831591.77,1663888.0,7.0
0.0,327757.0449107771,819265.1099528542,1651097.9512920838,7.0
0.0,326278.91878929763,815570.2213688812,1645018.5436200537,7.0
0.0,325243.3420506036,812981.5490718636,1641090.327513508,7.0
0.0,323957.23242406675,809767.0135121685,1631923.726618343,7.0
0.0,323639.074687984,808971.7521443701,1630128.260103854,7.0
0.0,321581.38825745805,803828.2431466498,1620470.834233278,7.0
0.0,321346.5546036398,803241.414616209,1617474.075169923,7.0
0.0,318610.4443866367,796402.6556022335,1598224.27403456,7.0
0.0,318870.0567870069,797051.4847434594,1600812.9617459674,7.0
0.0,316940.9840865736,792229.7697370716,1588767.451811715,7.0
0.0,317015.39729906904,792415.6987981306,1589918.3307475368,7.0
0.0,314601.463476464,786381.8379023937,1577049.5534329712,7.0
0.0,314388.92116094934,785850.720592589,1574441.864296597,7.0
0.0,312656.96865065955,781521.7757745849,1562747.6437664842,7.0
0.0,312005.11655232793,779892.4944180974,1558521.9662732927,7.0
0.0,304396.7444474,760875.465326951,1510326.293294375,7.0
0.0,306217.66738946823,765426.8890830274,1521073.101660096,7.0
0.0,305263.10013255413,763040.9708950195,1514614.8580399312,7.0
0.0,305437.1146204465,763475.9778704648,1514943.8252128304,7.0
0.0,299901.7054694099,749640.6456332552,1474952.449362653,7.0
0.0,300721.2092152919,751688.8203419915,1482048.32867884,7.0
0.0,300819.7641595909,751935.2033446074,1482018.9106659116,7.0
0.0,300005.9025634092,749900.8940744573,1477525.0313321245,7.0
0.0,296546.09103771223,741252.86885549,1457783.8314022282,7.0
0.0,296328.5246824143,740709.2979093584,1453809.4763761954,7.0
0.0,294622.1398361848,736444.4123548497,1440463.694657255,7.0
0.0,294207.26628101274,735407.5348344796,1436685.4474364002,7.0
0.0,291929.646735069,729714.8679116071,1419271.1365026438,7.0
0.0,287807.31166903494,719411.4434477711,1389088.2557511148,7.0
0.0,287129.9589110709,717718.5197585975,1383445.2274671334,7.0
0.0,283122.9888541778,707703.434661029,1354125.9098560559,7.0
0.0,262437.0,656000.65,1201496.0,7.0
0.0,271353.09030404815,678285.6259937191,1267233.4314231924,7.0
0.0,272806.38289586996,681918.0271178127,1277672.5343191763,7.0
0.0,274212.70265439,685432.9995340885,1288017.7061192289,7.0
0.0,272144.0693597929,680262.6656561777,1272360.5315019933,7.0
0.0,272285.95260938804,680617.3305946743,1272961.7499694305,7.0
0.0,274236.92396741844,685493.6031135218,1287414.8461755419,7.0
0.0,273201.45516553975,682905.5693715635,1279446.5460032148,7.0
0.0,271106.61147802323,677669.9573517772,1261021.4285031864,7.0
0.0,271276.42163234454,678094.2615615056,1263599.4971313493,7.0
0.0,269975.33744461474,674842.2256031057,1254900.6165182646,7.0
0.0,270325.498617282,675717.4248970163,1257481.6246666939,7.0
0.0,270637.76868678536,676497.9251879364,1259647.7330628005,7.0
0.0,269006.562676156,672420.7883806473,1248433.9337797235,7.0
0.0,268416.2950992695,670945.4893685839,1243879.7595417174,7.0
0.0,267492.8509149448,668637.3540230677,1237729.3901049742,7.0
0.0,260813.57144170997,651942.6341726216,1192893.3617185312,7.0
0.0,262884.34826921223,657118.5918605207,1205846.816036542,7.0
0.0,263035.3702712334,657496.1392986411,1206128.4039529976,7.0
0.0,262835.7886813874,656997.406019348,1203631.1520328764,7.0
0.0,259219.87514754385,647960.0022000982,1174428.4550687089,7.0
0.0,260305.7325711569,650673.946561321,1183003.2906358107,7.0
0.0,260227.5980947617,650478.7375050039,1181585.9167667115,7.0
0.0,259662.4715421688,649066.3123164095,1176778.77483732,7.0
0.0,259478.5215404138,648606.6474656708,1174218.2117786403,7.0
0.0,258858.23502374432,647056.3045729772,1169631.2636620707,7.0
0.0,255418.28092314285,638458.7412399331,1141264.269468663,7.0
0.0,255784.72509974363,639374.5978035803,1144352.7779635296,7.0
0.0,255819.1554422428,639460.6788448883,1144284.210049146,7.0
0.0,253531.5716464767,633743.248108505,1125608.6310233986,7.0
0.0,251056.49906832102,627557.2132957719,1105415.197549855,7.0
0.0,248272.08032958917,620598.0293132461,1082622.5214018521,7.0
0.0,233199.0,582925.52,958274.0,7.0
0.0,238342.9418349674,595781.8528161575,1001046.706062054,7.0
0.0,238771.48358988532,596852.8244581759,1005406.3345137459,7.0
0.0,240119.3750969817,600221.6582468025,1016339.3875573276,7.0
0.0,238315.69399252022,595713.6093683733,1001837.6042831138,7.0
0.0,238118.35321104253,595220.3481089447,1000665.0678771213,7.0
0.0,239098.1057810352,597669.027614666,1009020.757525574,7.0
0.0,237577.88584673472,593869.4055950827,997383.3522601868,7.0
0.0,232813.4809688652,581961.140038476,962362.7594009956,7.0
0.0,233819.1148032459,584474.7043963845,969027.1871407188,7.0
0.0,233771.20319532792,584355.0274095627,967848.6064994948,7.0
0.0,233659.80125001594,584076.5889600946,966909.2960931291,7.0
0.0,231847.13289157598,579546.032635396,952424.4963437732,7.0
0.0,231523.25023115767,578736.5757181317,949474.5308544013,7.0
0.0,229785.35361280755,574392.8908110308,936110.9683871586,7.0
0.0,228786.95420541885,571897.623189153,926997.7215213635,7.0
0.0,224993.11016099647,562415.7631585883,892607.1335872172,7.0
0.0,224505.56701649085,561196.9551518161,891742.5670816505,7.0
0.0,224180.0381783218,560383.3122801785,889418.5639663246,7.0
0.0,222443.66226924135,556043.3282946158,877239.8907442525,7.0
0.0,214137.59976154563,535282.9419621188,816666.8838517644,7.0
0.0,217308.28430947752,543207.8849805743,839076.8063500205,7.0
0.0,216784.72742833116,541899.2526852101,835694.1896894162,7.0
